"component_name","classification","batch","priority","risk_level","source_path","repo_ui_export","effort","parity_risk","is_monolith","soc_potential","soc_strategy","batch_15_candidate","refactor_potential","refactor_strategy","story_group"
"HistoryPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/history/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadDataPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/detail/[id]/upload-data/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ImportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/import/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ImportWithPreviewPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/import-with-preview/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/claim/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ClaimPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/dashboard/claim/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PolicyPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/dashboard/policy/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"TransactionPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/dashboard/transaction/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportUsersPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/export-users/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"BillingDetailActions","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/finance/billing/detail/[id]/components/BillingDetailActions.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"BillingDetailInfo","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/finance/billing/detail/[id]/components/BillingDetailInfo.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/detail/[id]/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ImportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/detail/[id]/import/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"InvoicePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/detail/[id]/invoice/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"BillingPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/billing/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/broker-fee/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/broker-fee/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"BrokerFeePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/broker-fee/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/partner-comm/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/partner-comm/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PartnerCommPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/partner-comm/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UnmatchBillingPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/finance/unmatch-billing/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"RootLayout","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/layout.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - route boundary component; defer to Phase 05A route-focused refactor",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/channel/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
